Court,Year,Metric,Value,Unit
Magistrates Court,2017,Location_Sanma_Filings,537,
Magistrates Court,2017,Location_Sanma_Pct,26,%
Magistrates Court,2017,Location_Shefa_Filings,516,
Magistrates Court,2017,Location_Shefa_Pct,25,%
Magistrates Court,2017,Location_Malampa_Filings,351,
Magistrates Court,2017,Location_Malampa_Pct,17,%
Magistrates Court,2017,Location_Tafea_Filings,331,
Magistrates Court,2017,Location_Tafea_Pct,16,%
Magistrates Court,2017,Location_Penama_Filings,207,
Magistrates Court,2017,Location_Penama_Pct,10,%
Magistrates Court,2017,Location_Torba_Filings,124,
Magistrates Court,2017,Location_Torba_Pct,6,%
Island Court,2017,Location_Sanma_Filings,140,
Island Court,2017,Location_Sanma_Pct,28,%
Island Court,2017,Location_Shefa_Filings,125,
Island Court,2017,Location_Shefa_Pct,25,%
Island Court,2017,Location_Malampa_Filings,85,
Island Court,2017,Location_Malampa_Pct,17,%
Island Court,2017,Location_Tafea_Filings,80,
Island Court,2017,Location_Tafea_Pct,16,%
Island Court,2017,Location_Penama_Filings,50,
Island Court,2017,Location_Penama_Pct,10,%
Island Court,2017,Location_Torba_Filings,20,
Island Court,2017,Location_Torba_Pct,4,%
Supreme Court,2017,ChargeOrders,1000,
Magistrates Court,2017,ChargeOrders,150,
Court of Appeal,2017,CoA_Civil_Dismissed,55,%
Court of Appeal,2017,CoA_Civil_Allowed,31,%
Court of Appeal,2017,CoA_Civil_Withdrawn,9,%
Court of Appeal,2017,CoA_Criminal_Dismissed,51,%
Court of Appeal,2017,CoA_Criminal_Allowed,34,%
Court of Appeal,2017,CoA_Criminal_Withdrawn,10,%
